PANTONENAME,UNIQUECODE,RED,GREEN,BLUE
PANTONE 2132 C,10652,38,12,-63
PANTONE 2133 C,10653,37,4,-49
PANTONE 2134 C,10654,67,0,-24
PANTONE 2135 C,10655,58,1,-30
PANTONE 2136 C,10656,61,-1,-21
PANTONE 2137 C,10657,53,0,-25
PANTONE 2138 C,10658,49,-2,-18
PANTONE 2139 C,10659,43,-1,-29
PANTONE 214 C,10660,46,69,3
PANTONE 2140 C,10661,35,0,-30
PANTONE 2141 C,10662,74,-9,-27
PANTONE 2142 C,10663,69,-5,-33
PANTONE 2143 C,10664,54,-6,-43
PANTONE 2144 C,10665,42,-1,-51
PANTONE 2145 C,10666,34,8,-55
PANTONE 2146 C,10667,25,15,-55
PANTONE 2147 C,10668,18,17,-51
PANTONE 2148 C,10669,58,-11,-23
PANTONE 2149 C,10670,52,-10,-27
PANTONE 215 C,10671,38,59,2
PANTONE 2150 C,10672,46,-11,-29
PANTONE 2151 C,10673,43,-7,-37
